[2025-02-17 21:20:42.175] [Global_logger] [info] Logger initialized.
[2025-02-17 21:20:55.488] [Global_logger] [info] stereo_ORB_EXTRACT 8773 us,  
[2025-02-17 21:20:55.543] [Global_logger] [info] stereo_ORB_EXTRACT 8120 us,  
[2025-02-17 21:20:55.599] [Global_logger] [info] stereo_ORB_EXTRACT 8553 us,  
[2025-02-17 21:20:55.655] [Global_logger] [info] stereo_ORB_EXTRACT 8996 us,  
[2025-02-17 21:20:55.706] [Global_logger] [info] stereo_ORB_EXTRACT 6324 us,  
[2025-02-17 21:20:55.767] [Global_logger] [info] stereo_ORB_EXTRACT 13399 us,  
[2025-02-17 21:20:55.819] [Global_logger] [info] stereo_ORB_EXTRACT 9350 us,  
[2025-02-17 21:20:55.871] [Global_logger] [info] stereo_ORB_EXTRACT 7086 us,  
[2025-02-17 21:20:55.928] [Global_logger] [info] stereo_ORB_EXTRACT 10232 us,  
[2025-02-17 21:20:55.982] [Global_logger] [info] stereo_ORB_EXTRACT 10577 us,  
[2025-02-17 21:20:56.039] [Global_logger] [info] stereo_ORB_EXTRACT 10341 us,  
[2025-02-17 21:20:56.092] [Global_logger] [info] stereo_ORB_EXTRACT 7440 us,  
[2025-02-17 21:20:56.148] [Global_logger] [info] stereo_ORB_EXTRACT 7163 us,  
[2025-02-17 21:20:56.207] [Global_logger] [info] stereo_ORB_EXTRACT 10567 us,  
[2025-02-17 21:20:56.259] [Global_logger] [info] stereo_ORB_EXTRACT 8758 us,  
[2025-02-17 21:20:56.314] [Global_logger] [info] stereo_ORB_EXTRACT 7408 us,  
[2025-02-17 21:20:56.370] [Global_logger] [info] stereo_ORB_EXTRACT 10198 us,  
[2025-02-17 21:20:56.424] [Global_logger] [info] stereo_ORB_EXTRACT 8716 us,  
[2025-02-17 21:20:56.479] [Global_logger] [info] stereo_ORB_EXTRACT 9420 us,  
[2025-02-17 21:20:56.531] [Global_logger] [info] stereo_ORB_EXTRACT 7830 us,  
[2025-02-17 21:20:56.588] [Global_logger] [info] stereo_ORB_EXTRACT 8476 us,  
[2025-02-17 21:20:56.644] [Global_logger] [info] stereo_ORB_EXTRACT 8305 us,  
[2025-02-17 21:20:56.698] [Global_logger] [info] stereo_ORB_EXTRACT 6608 us,  
[2025-02-17 21:20:56.756] [Global_logger] [info] stereo_ORB_EXTRACT 9901 us,  
[2025-02-17 21:20:56.810] [Global_logger] [info] stereo_ORB_EXTRACT 9541 us,  
[2025-02-17 21:20:56.864] [Global_logger] [info] stereo_ORB_EXTRACT 9860 us,  
[2025-02-17 21:20:56.915] [Global_logger] [info] stereo_ORB_EXTRACT 6772 us,  
[2025-02-17 21:20:56.973] [Global_logger] [info] stereo_ORB_EXTRACT 10488 us,  
